timestamp,value
1533484500,457
1533484800,102
1533485100,93
1533485400,92
1533485700,75
1533486000,76
1533486300,102
1533486600,135
1533486900,83
1533487200,110
1533487500,110
1533487800,79
1533488100,120
1533488400,95
1533488700,112
1533489000,103
1533489300,70
1533489600,61
1533489900,77
1533490200,65
1533490500,88
1533490800,67
1533491100,71
1533491400,55
1533491700,50
1533492000,37
1533492300,54
1533492600,38
1533492900,37
1533493200,59
1533493500,27
1533493800,39
1533494100,36
1533494400,33
1533494700,32
1533495000,29
1533495300,32
1533495600,23
1533495900,29
1533496200,25
1533496500,42
1533496800,20
1533497100,23
1533497400,24
1533497700,33
1533498000,25
1533498300,20
1533498600,35
1533498900,15
1533499200,34
1533499500,29
1533499800,22
1533500100,17
1533500400,12
1533500700,51
1533501000,30
1533501300,29
1533501600,29
1533501900,35
1533502200,29
1533502500,25
1533502800,36
1533503100,29
1533503400,39
1533503700,42
1533504000,58
1533504300,38
1533504600,74
1533504900,59
1533505200,74
1533505500,73
1533505800,82
1533506100,88
1533506400,81
1533506700,80
1533507000,101
1533507300,111
1533507600,136
1533507900,124
1533508200,139
1533508500,134
1533508800,132
1533509100,145
1533509400,207
1533509700,218
1533510000,186
1533510300,199
1533510600,168
1533510900,192
1533511200,214
1533511500,215
1533511800,232
1533512100,214
1533512400,243
1533512700,249
1533513000,263
1533513300,227
1533513600,283
1533513900,301
1533514200,244
1533514500,313
1533514800,268
1533515100,302
1533515400,317
1533515700,314
1533516000,336
1533516300,320
1533516600,358
1533516900,288
1533517200,350
1533517500,363
1533517800,379
1533518100,331
1533518400,332
1533518700,380
1533519000,370
1533519300,362
1533519600,351
1533519900,313
1533520200,386
1533520500,435
1533520800,392
1533521100,427
1533521400,401
1533521700,357
1533522000,386
1533522300,443
1533522600,427
1533522900,375
1533523200,476
1533523500,424
1533523800,468
1533524100,448
1533524400,489
1533524700,448
1533525000,352
1533525300,449
1533525600,436
1533525900,465
1533526200,447
1533526500,457
1533526800,437
1533527100,455
1533527400,534
1533527700,496
1533528000,500
1533528300,501
1533528600,574
1533528900,556
1533529200,521
1533529500,541
1533529800,532
1533530100,522
1533530400,504
1533530700,489
1533531000,499
1533531300,519
1533531600,477
1533531900,511
1533532200,488
1533532500,515
1533532800,456
1533533100,519
1533533400,480
1533533700,475
1533534000,460
1533534300,469
1533534600,463
1533534900,467
1533535200,478
1533535500,502
1533535800,482
1533536100,460
1533536400,513
1533536700,460
1533537000,476
1533537300,445
1533537600,496
1533537900,491
1533538200,407
1533538500,450
1533538800,471
1533539100,471
1533539400,514
1533539700,490
1533540000,494
1533540300,503
1533540600,496
1533540900,520
1533541200,500
1533541500,475
1533541800,470
1533542100,488
1533542400,514
1533542700,555
1533543000,534
1533543300,466
1533543600,529
1533543900,506
1533544200,528
1533544500,516
1533544800,577
1533545100,551
1533545400,522
1533545700,642
1533546000,553
1533546300,536
1533546600,627
1533546900,608
1533547200,599
1533547500,626
1533547800,568
1533548100,635
1533548400,623
1533548700,698
1533549000,637
1533549300,658
1533549600,672
1533549900,721
1533550200,757
1533550500,639
1533550800,688
1533551100,682
1533551400,700
1533551700,667
1533552000,757
1533552300,715
1533552600,734
1533552900,743
1533553200,763
1533553500,832
1533553800,791
1533554100,836
